Date,Temperature
2018/1/1,16
2018/1/2,16
2018/1/3,17.3
2018/1/4,19.2
2018/1/5,17.7
2018/1/6,17.5
2018/1/7,18.3
2018/1/8,19.3
2018/1/9,14.1
2018/1/10,11
2018/1/11,11.9
2018/1/12,10.9
2018/1/13,10.7
2018/1/14,10.4
2018/1/15,13.8
2018/1/16,17.5
2018/1/17,19.4
2018/1/18,19.4
2018/1/19,19.6
2018/1/20,19.1
2018/1/21,18.7
2018/1/22,18.3
2018/1/23,17.2
2018/1/24,17.2
2018/1/25,16.4
2018/1/26,17.8
2018/1/27,15
2018/1/28,17.6
2018/1/29,13.8
2018/1/30,11.5
2018/1/31,14.1
2018/2/1,11.9
2018/2/2,12.7
2018/2/3,11.2
2018/2/4,8.9
2018/2/5,9.4
2018/2/6,9
2018/2/7,10.1
2018/2/8,11.5
2018/2/9,13.2
2018/2/10,15.2
2018/2/11,12.2
2018/2/12,12.1
2018/2/13,12.3
2018/2/14,15
2018/2/15,15.4
2018/2/16,19.3
2018/2/17,17.3
2018/2/18,16.3
2018/2/19,16.4
2018/2/20,16.5
2018/2/21,16.8
2018/2/22,15.2
2018/2/23,13.6
2018/2/24,16.2
2018/2/25,15.8
2018/2/26,14.6
2018/2/27,15.5
2018/2/28,16.1
2018/3/1,17.4
2018/3/2,20
2018/3/3,18.9
2018/3/4,21.9
2018/3/5,25
2018/3/6,17.1
2018/3/7,18.1
2018/3/8,17.1
2018/3/9,12.3
2018/3/10,13
2018/3/11,14
2018/3/12,16
2018/3/13,17.6
2018/3/14,18.9
2018/3/15,21.1
2018/3/16,21.2
2018/3/17,18.8
2018/3/18,19.7
2018/3/19,20.9
2018/3/20,23.2
2018/3/21,16.9
2018/3/22,13.4
2018/3/23,13.5
2018/3/24,15.4
2018/3/25,18.8
2018/3/26,19.9
2018/3/27,19.1
2018/3/28,19.4
2018/3/29,21
2018/3/30,22.2
2018/3/31,20.9
2018/4/1,23.2
2018/4/2,23.2
2018/4/3,22.6
2018/4/4,22.3
2018/4/5,23.5
2018/4/6,26.1
2018/4/7,16.6
2018/4/8,16.1
2018/4/9,19.4
2018/4/10,20.4
2018/4/11,22.5
2018/4/12,25.8
2018/4/13,25.8
2018/4/14,27.3
